Model: LeNet
Num epochs: 500
Num local epochs: 10
Num of clients: 100
The fraction of clients: C: 0.1
All clients:  False
Round   0, Average loss 4.100
Round   1, Average loss 4.080
Round   2, Average loss 4.043
Round   3, Average loss 3.972
Round   4, Average loss 3.844
Round   5, Average loss 3.690
Round   6, Average loss 3.588
Round   7, Average loss 3.498
Round   8, Average loss 3.477
Round   9, Average loss 3.438
Round  10, Average loss 3.412
Round  11, Average loss 3.393
Round  12, Average loss 3.367
Round  13, Average loss 3.357
Round  14, Average loss 3.322
Round  15, Average loss 3.345
Round  16, Average loss 3.325
Round  17, Average loss 3.291
Round  18, Average loss 3.301
Round  19, Average loss 3.290
Round  20, Average loss 3.247
Round  21, Average loss 3.235
Round  22, Average loss 3.202
Round  23, Average loss 3.155
Round  24, Average loss 3.148
Round  25, Average loss 3.094
Round  26, Average loss 3.066
Round  27, Average loss 3.027
Round  28, Average loss 2.924
Round  29, Average loss 2.908
Round  30, Average loss 2.845
Round  31, Average loss 2.765
Round  32, Average loss 2.707
Round  33, Average loss 2.662
Round  34, Average loss 2.581
Round  35, Average loss 2.498
Round  36, Average loss 2.462
Round  37, Average loss 2.366
Round  38, Average loss 2.297
Round  39, Average loss 2.228
Round  40, Average loss 2.163
Round  41, Average loss 2.104
Round  42, Average loss 2.016
Round  43, Average loss 1.947
Round  44, Average loss 1.884
Round  45, Average loss 1.827
Round  46, Average loss 1.788
Round  47, Average loss 1.727
Round  48, Average loss 1.660
Round  49, Average loss 1.587
Round  50, Average loss 1.542
Round  51, Average loss 1.507
Round  52, Average loss 1.466
Round  53, Average loss 1.345
Round  54, Average loss 1.367
Round  55, Average loss 1.281
Round  56, Average loss 1.274
Round  57, Average loss 1.181
Round  58, Average loss 1.164
Round  59, Average loss 1.137
Round  60, Average loss 1.105
Round  61, Average loss 1.058
Round  62, Average loss 1.036
Round  63, Average loss 0.975
Round  64, Average loss 0.986
Round  65, Average loss 0.938
Round  66, Average loss 0.895
Round  67, Average loss 0.846
Round  68, Average loss 0.894
Round  69, Average loss 0.826
Round  70, Average loss 0.818
Round  71, Average loss 0.777
Round  72, Average loss 0.753
Round  73, Average loss 0.740
Round  74, Average loss 0.710
Round  75, Average loss 0.712
Round  76, Average loss 0.676
Round  77, Average loss 0.665
Round  78, Average loss 0.638
Round  79, Average loss 0.638
Round  80, Average loss 0.618
Round  81, Average loss 0.608
Round  82, Average loss 0.582
Round  83, Average loss 0.573
Round  84, Average loss 0.570
Round  85, Average loss 0.554
Round  86, Average loss 0.526
Round  87, Average loss 0.537
Round  88, Average loss 0.553
Round  89, Average loss 0.525
Round  90, Average loss 0.500
Round  91, Average loss 0.479
Round  92, Average loss 0.475
Round  93, Average loss 0.466
Round  94, Average loss 0.447
Round  95, Average loss 0.438
Round  96, Average loss 0.422
Round  97, Average loss 0.427
Round  98, Average loss 0.405
Round  99, Average loss 0.411
Round 100, Average loss 0.383
Round 101, Average loss 0.422
Round 102, Average loss 0.382
Round 103, Average loss 0.368
Round 104, Average loss 0.355
Round 105, Average loss 0.362
Round 106, Average loss 0.369
Round 107, Average loss 0.361
Round 108, Average loss 0.315
Round 109, Average loss 0.333
Round 110, Average loss 0.319
Round 111, Average loss 0.312
Round 112, Average loss 0.307
Round 113, Average loss 0.308
Round 114, Average loss 0.302
Round 115, Average loss 0.316
Round 116, Average loss 0.295
Round 117, Average loss 0.265
Round 118, Average loss 0.273
Round 119, Average loss 0.282
Round 120, Average loss 0.279
Round 121, Average loss 0.255
Round 122, Average loss 0.291
Round 123, Average loss 0.287
Round 124, Average loss 0.247
Round 125, Average loss 0.262
Round 126, Average loss 0.254
Round 127, Average loss 0.259
Round 128, Average loss 0.243
Round 129, Average loss 0.228
Round 130, Average loss 0.232
Round 131, Average loss 0.223
Round 132, Average loss 0.235
Round 133, Average loss 0.228
Round 134, Average loss 0.220
Round 135, Average loss 0.216
Round 136, Average loss 0.236
Round 137, Average loss 0.221
Round 138, Average loss 0.220
Round 139, Average loss 0.224
Round 140, Average loss 0.215
Round 141, Average loss 0.208
Round 142, Average loss 0.212
Round 143, Average loss 0.213
Round 144, Average loss 0.197
Round 145, Average loss 0.206
Round 146, Average loss 0.197
Round 147, Average loss 0.181
Round 148, Average loss 0.189
Round 149, Average loss 0.196
Round 150, Average loss 0.156
Round 151, Average loss 0.170
Round 152, Average loss 0.163
Round 153, Average loss 0.180
Round 154, Average loss 0.165
Round 155, Average loss 0.177
Round 156, Average loss 0.183
Round 157, Average loss 0.150
Round 158, Average loss 0.160
Round 159, Average loss 0.147
Round 160, Average loss 0.161
Round 161, Average loss 0.158
Round 162, Average loss 0.165
Round 163, Average loss 0.156
Round 164, Average loss 0.140
Round 165, Average loss 0.142
Round 166, Average loss 0.164
